	时间	踩	赞	评分	所看话数	内容
伪鸭你也算计我	1539240753	1	0	10	13	暖心又有趣，用不一样角度描述了关于人体的一系列生物学知识。我想用这部动画做教材，可能我的生物也不会那么差了吧。。。。。。。（自我安慰）
小白喵的喵	1539240413	1	0	10	12	个人感觉还是很好的 好看还能了解自己身体 还有血小板真萌
衫帕福猹	1539238277	1	0	10	13	明人不说暗话，五星！
无法攻略少女	1539236037	1	0	10	13	我在一个普通的细胞身上看到了生命的努力与不凡
笛之秋	1539235658	1	0	10	13	完结撒血小板喽
洛枫天萧	1539235102	1	0	10	13	好看好看是真的(//?//)
雪碧花	1539235077	1	0	10	12	不错的番！推荐推荐！！bilibili乾杯！
gaowei1995	1539234463	1	0	10	13	很萌又很科普哈哈哈
松风水月雾	1539233901	1	0	10	1	非常喜欢的一部动漫，也是第一部点评的动漫，学生物的很喜欢！很多设定也非常棒，很客观的还原细胞的形象，就是这样一些没有办法言说但是为了我们默默努力永不言弃的小可爱们啊！
毁灭master	1539302268	0	0	10	13	红白细胞赶快滚去结婚啊
TCQH	1539298790	0	0	10	13	很好的番
醉雨潇潇233	1539282478	0	0	10	13	医学狗表示这部作品真的很棒，一些细节对人物的转换处理得非常好（比如单核细胞和巨噬细胞），真的是一部非常用心的作品！这里悄悄表白血小板嘿嘿嘿
最後の嵐	1539279333	0	0	10	13	提高姿势水平
喷毒萌大奶	1539279104	0	0	10	13	积极 健康 很棒的动漫
SheikZelda	1539277470	0	0	8	13	题材很有意思。看每一集都有点期待。
初生林	1539277302	0	0	8	13	后期剧情有点小尴尬
麻花疼是我一生的痛	1539276489	0	0	8	13	本以为日常科普番没什么好看的 ，没想到刷新了我对科普番的理解，真的很不错。
Grace829	1539275714	0	0	10	13	重新看待自己的身体。
only筱筱	1539275236	0	0	10	13	卡哇伊
key咖啡T	1539274593	0	0	10	10	符合预期，还阔以
fancyxxxx	1539273179	0	0	10	13	我会好好爱护自己的身体，感谢你陪伴我。
うまろん	1539272817	0	0	8	13	完结撒花，希望会出第二季
PVZer	1539272760	0	0	10	13	很不错的一部番，身体内的三十七兆两千亿个细胞都在无时无刻地帮助支持我们（癌细胞？？），我们还有什么理由不努力呢？
桜の花酱	1539272593	0	0	10	13	超级棒的作品
腼腆的糖糖豆	1539271959	0	0	10	13	好棒啊，这个番。看的我热血沸腾的((?(//?Д/?/)?))
潘淳彬大炮古	1539271916	0	0	10	13	第一部追的番，很好看，高考前不追了。希望高考回来继续看
海人UMITO	1539269851	0	0	10	13	拟人化的细胞们让原本枯燥的人体学变得有趣，看番剧的同时也是在学习，是一部值得推荐的番剧。
走心小卖家゛	1539269520	0	0	10	12	五星，不看后悔
御萌ペ樱落	1539269333	0	0	10	13	最大的愿望，就是身体健健康康。
咩咩安好	1539268570	0	0	10	13	真的追到现在好感动，完结撒花。ありがとうO(∩_∩)O
阿珂是珂不是柯	1539268413	0	0	10	13	太喜欢了！又科普又治愈，红白好甜，期待更多细胞日常！！
张天真人	1539268283	0	0	8	13	综合来说是一部很有趣的科普番~
皮皮虾今天要罢工	1539267763	0	0	10	13	要好好爱护自己的身体呀！
猫小咪Max	1539267494	0	0	10	13	超级好看呢！期待下一部！
鬼影丶EX	1539267161	0	0	10	13	当科普番来看还是很好的一部作品
天恋情	1539266677	0	0	10	13	必须的好评五星的
远处一只DL	1539265672	0	0	10	8	炒鸡喜欢啊啊啊啊啊啊
德雷格	1539265497	0	0	10	13	讲真，里面有一些不太对，毕竟我是学生物的嘛，这个动漫搞得我都无法直视我的免疫老师。不过绝大部分还是对的！我现在看免疫的ppt脑海里浮现的都是漫画的主角的样子！超赞的！最后，感谢有你陪伴！
玉皇山矿泉水	1539265262	0	0	10	13	好看
LOL璐主	1539264729	0	0	10	13	看完更想对自己的身体好一些，不想让细胞们在恶劣的环境下工作。 于是我就感冒了..
坐看缘分了断	1539262920	0	0	8	12	寓教于乐
一级退堂鼓演奏家沅静	1539262200	0	0	10	13	完结撒花——！非常棒的作品呢，一本正经的科普也不显得突兀，结合细胞的功能给不同的细胞以不同的设定非常用心了！明明是被超萌的血小板吸引过来的结果却快乐地吃起了白哥和红细胞的狗粮（苦笑）总之！期待续作ww
_0101	1539260920	0	0	10	13	很棒的动画，有教育意义。细胞太可爱了。
林の天	1539260400	0	0	10	13	我爱血小板
渗透之蕾丝	1539259789	0	0	10	13	医学生必看，完结献血
孤寡老苍	1539258353	0	0	10	13	贼好看啊
Amaris灬无心	1539256629	0	0	10	13	很棒的一部作品，希望有下一季
丶魚丸	1539256355	0	0	10	13	好看呀
大概是一只榆鱼	1539255812	0	0	10	13	很有脑洞的番，喜欢！！
意风之名	1539255566	0	0	10	13	我爱这部动漫
达康兔子	1539250667	0	0	10	13	虽然她会迷路，但她的心不会迷失方向。
喷水杰尼粉丝后援会	1539245883	0	0	10	13	从很久之前的漫画到现在！满分满分满分！非常优秀的动画了
小点巅233oO	1539244092	0	0	10	13	猴台
每天吸一口	1539243457	0	0	10	13	完结撒花啦~
kane_king	1539242827	0	0	10	12	很棒的科普，万物皆可萌
糖球啊啊啊	1539242325	0	0	10	13	超级奈斯！
poemz	1539232203	0	0	10	13	喜欢可爱的画风，喜欢红白之间的革命友情，希望还有下一季
