SN_CODE,SN_CITY,SN_PROV,SN_LEVEL,SN_LNG,SN_NAME,SN_LAT,ST_PRICEURL,SN_THEME
1000138,乌海,内蒙古,,106.821605,蒙根花游乐园,39.802332,,主题乐园
1000139,鄂尔多斯,内蒙古,,109.37989,鄂尔多斯塞外农耕文化体验园,39.853483,,民俗风情
1000141,呼和浩特,内蒙古,,111.683185,内蒙古博物院,40.828556,,博物馆
1000143,呼伦贝尔,内蒙古,,121.797713,根河湿地,51.375925,,
1000144,呼和浩特,内蒙古,,111.127577,希拉穆仁草原花海,41.363296,38,草原沙漠
1000145,阿拉善盟,内蒙古,,105.684781,阿拉善盟延福寺,38.845422,,宗教祈福
1000146,呼伦贝尔,内蒙古,,119.683514,弘吉剌部蒙古大营,50.210407,,
1000147,呼和浩特,内蒙古,3A,111.629521,大青山野生动物园,40.875833,,动植物园
1000148,呼伦贝尔,内蒙古,5A,117.405672,满洲里口岸套娃景区,49.617905,140,主题乐园
1000149,北京,内蒙古,,117.35857,青山冰臼群,43.218237,,
1000150,鄂尔多斯,内蒙古,,109.794825,鄂尔多斯大剧院,39.608577,,民俗风情
1000151,兴安盟,内蒙古,4A,119.956268,中国温泉博物馆,47.173383,248,温泉
1000152,呼伦贝尔,内蒙古,,123.673012,嘎仙洞森林公园,50.606686,,
1000153,呼伦贝尔,内蒙古,,119.784716,俄罗斯大马戏,49.207126,,主题乐园
1000154,赤峰,内蒙古,,118.961196,西拉沐沦响水漂流,42.279305,,
1000155,赤峰,内蒙古,4A,117.3641118941,阿斯哈图石林景区,43.5400378282,135,湖光山色
1000156,赤峰,内蒙古,4A,118.514064,喀喇沁亲王府,41.845472,,
1000157,呼和浩特,内蒙古,,111.894209,万部华严经塔,40.844336,,宗教祈福
1000158,呼伦贝尔,内蒙古,,120.185825,额尔古纳民族风情冰雪节,50.245741,,当地玩乐门票
1000159,呼和浩特,内蒙古,,111.680449,加拿大原版全场互动儿童剧《你是演奏家》,40.827878,,
1000161,阿拉善盟,内蒙古,,114.377938,巴丹湖景区,27.985772,,草原沙漠
1000162,呼和浩特,内蒙古,,111.741036,呼和浩特乐汤汇温泉生活馆,40.836491,59,温泉
1000163,赤峰,内蒙古,,119.398237,辽太祖陵,43.989941,,古迹遗址
1000164,呼伦贝尔,内蒙古,3A,119.760822,莫尔道嘎国家森林公园,49.201636,,湖光山色
1000165,呼伦贝尔,内蒙古,,120.156486,冰泉小镇露西演艺,50.249605,,赛事演出
1000166,呼伦贝尔,内蒙古,2A,122.338386,喇嘛山国家森林公园,48.333311,,
1000168,呼和浩特,内蒙古,,111.685738,碧海云天大浴场（烟厂店）,40.797456,,门票
1000170,呼和浩特,内蒙古,,111.819321,呼和浩特“洛阳牡丹节”,40.71932,,
1000171,乌兰察布,内蒙古,,112.591562,国际马术演艺小镇景区,41.180652,,赛事演出
