rooms,area,floors,location,nearbySubway,price
9,200.0,4,望城,0,8300
7,119.0,33,星沙,0,9075
5,85.0,20,雨花,1,11176
7,135.0,32,星沙,0,7185
3,39.0,29,望城,0,7692
11,330.0,4,雨花,1,15454
8,152.0,11,芙蓉,0,11052
5,95.0,33,开福,1,16842
6,77.0,33,星沙,0,9090
5,88.0,6,星沙,0,4659
8,182.0,6,望城,0,4120
8,136.0,28,开福,0,13970
3,51.0,29,望城,0,6862
9,313.0,3,长沙周边,0,8945
7,127.0,28,星沙,0,7480
6,91.0,6,芙蓉,1,9483
8,147.0,33,开福,1,11224
7,133.0,16,天心,1,10451
7,125.0,11,雨花,1,11984
7,130.0,32,开福,0,9076
8,136.0,32,开福,0,16029
7,142.0,33,岳麓,0,11619
3,30,4,望城,0,5333
7,98.0,18,星沙,0,7632
8,156.0,2,开福,1,10448
8,145.0,8,芙蓉,1,11448
5,80.0,33,星沙,0,7250
7,135.0,33,星沙,0,9777
10,238.0,4,望城,0,10714
8,172.0,3,雨花,0,8023
8,152.0,12,芙蓉,1,11052
7,132.0,20,岳麓,0,11515
3,40.0,15,岳麓,0,9375
4,62.7,7,芙蓉,1,8421
8,141.0,32,开福,1,12056
7,133.0,18,芙蓉,0,6541
7,138.0,11,雨花,1,11449
7,120.0,32,雨花,1,22500
7,141.0,32,开福,1,11843
7,140.0,27,芙蓉,0,10357
5,88.0,32,雨花,1,14204
8,154.0,18,岳麓,0,10389
7,123.0,17,开福,1,12601
7,131.0,30,岳麓,0,9007
7,133.0,28,星沙,0,7293
5,77.0,34,岳麓,0,6753
8,150.0,33,岳麓,0,16000
9,260.0,33,开福,1,13769
8,145.0,33,开福,1,9227
6,118.0,9,天心,0,7457
7,122.0,30,芙蓉,0,10409
7,119.0,33,星沙,0,10067
9,208.0,3,天心,0,16298
7,154.0,9,天心,1,9740
7,148.0,11,开福,0,8108
5,91.94,6,雨花,1,9332
5,92.0,18,星沙,0,7065
7,139.0,28,雨花,1,10791
7,118.0,30,雨花,0,9745
7,141.0,19,芙蓉,1,12624
7,124.0,30,开福,1,9032
7,119.0,16,天心,1,12773
7,110.0,33,星沙,0,8181
7,145.0,11,天心,1,11379
